Name,rate,stock,currentStock,outStock,Date
Latanoprost,36,22,22,0,2024-10-12T02:51:19.194592
Terazosin,45,351,351,0,2024-10-12T02:51:19.199592
Ezetimibe,26,262,262,0,2024-10-12T02:51:19.205978
Bismuth subsalicylate,52,302,302,0,2024-10-12T02:51:19.212976
Liraglutide,64,450,450,0,2024-10-12T02:51:19.218972
Dexamethasone,79,236,236,0,2024-10-12T02:51:19.225976
Chlorpromazine,49,40,40,0,2024-10-12T02:51:19.231972
Trazodone,94,479,479,0,2024-10-12T02:51:19.237981
Phenytoin,62,213,213,0,2024-10-12T02:51:19.243979
Anastrozole,45,38,38,0,2024-10-12T02:51:19.248970
Mirtazapine,71,235,235,0,2024-10-12T02:51:19.254972
Levocetirizine,62,341,341,0,2024-10-12T02:51:19.260973
Nitroprusside,65,318,318,0,2024-10-12T02:51:19.265990
Fentanyl,76,336,336,0,2024-10-12T02:51:19.271990
Codeine,30,124,124,0,2024-10-12T02:51:19.278971
Methadone,36,222,222,0,2024-10-12T02:51:19.285006
Enalapril,63,238,238,0,2024-10-12T02:51:19.292974
Olmesartan,14,462,462,0,2024-10-12T02:51:19.299976
Diphenhydramine,29,145,145,0,2024-10-12T02:51:19.308036
Sacubitril/Valsartan,66,323,323,0,2024-10-12T02:51:19.316049
Sevelamer,13,471,471,0,2024-10-12T02:51:19.322037
Buprenorphine,78,274,274,0,2024-10-12T02:51:19.328043
Olanzapine,57,341,341,0,2024-10-12T02:51:19.335037
Sotalol,24,481,481,0,2024-10-12T02:51:19.342036
Paliperidone,5,460,460,0,2024-10-12T02:51:19.348037
Esomeprazole,82,340,340,0,2024-10-12T02:51:19.354037
Apixaban,34,305,305,0,2024-10-12T02:51:19.361050
Insulin glargine,52,262,262,0,2024-10-12T02:51:19.366038
Metformin,32,201,201,0,2024-10-12T02:51:19.372038
Tadalafil,15,461,461,0,2024-10-12T02:51:19.378040
Dulaglutide,63,146,146,0,2024-10-12T02:51:19.384038
Azelastine,27,468,468,0,2024-10-12T02:51:19.390082
Tizanidine,89,268,268,0,2024-10-12T02:51:19.396037
Ropinirole,61,168,168,0,2024-10-12T02:51:19.401037
Isosorbide dinitrate,1,237,237,0,2024-10-12T02:51:19.408037
Nitroglycerin,53,415,415,0,2024-10-12T02:51:19.413036
Acetazolamide,87,211,211,0,2024-10-12T02:51:19.418038
Methotrexate,90,96,96,0,2024-10-12T02:51:19.423039
Bicalutamide,10,90,90,0,2024-10-12T02:51:19.427060
Beclomethasone,94,108,108,0,2024-10-12T02:51:19.432034
Clobetasol,5,446,446,0,2024-10-12T02:51:19.439038
Dexamethasone,55,137,137,0,2024-10-12T02:51:19.444035
Gatifloxacin,46,307,307,0,2024-10-12T02:51:19.448055
Imatinib,41,57,57,0,2024-10-12T02:51:19.454040
Ketorolac,99,80,80,0,2024-10-12T02:51:19.459059
Quetiapine,52,191,191,0,2024-10-12T02:51:19.464055
Thiamine,76,436,436,0,2024-10-12T02:51:19.469036
Valproate,74,96,96,0,2024-10-12T02:51:19.474036
Phentermine,43,109,109,0,2024-10-12T02:51:19.479035
Varenicline,11,60,60,0,2024-10-12T02:51:19.484037
Rivastigmine,86,216,216,0,2024-10-12T02:51:19.489035
Donepezil,28,143,143,0,2024-10-12T02:51:19.494037
Simethicone,39,136,136,0,2024-10-12T02:51:19.498057
Lidocaine,55,179,179,0,2024-10-12T02:51:19.503034
Gabapentin,80,348,348,0,2024-10-12T02:51:19.508035
Propranolol,26,428,428,0,2024-10-12T02:51:19.513168
Epinphrine,69,144,144,0,2024-10-12T02:51:19.518281
Clobetasone,39,156,156,0,2024-10-12T02:51:19.524173
Folic acid,85,382,382,0,2024-10-12T02:51:19.529282
Sodium bicarbonate,46,229,229,0,2024-10-12T02:51:19.535215
Sucrose,68,102,102,0,2024-10-12T02:51:19.541339
Hydrocortisone,46,325,325,0,2024-10-12T02:51:19.548345
Sodium nitroprusside,20,4,4,0,2024-10-12T02:51:19.555341
Carbidopa/Levodopa,99,491,491,0,2024-10-12T02:51:19.562344
Ascorbic acid,61,246,246,0,2024-10-12T02:51:19.569309
Diclofenac,52,88,88,0,2024-10-12T02:51:19.577321
Topiramate,43,60,60,0,2024-10-12T02:51:19.584392
Nortriptyline,10,421,421,0,2024-10-12T02:51:19.590645
Fluconazole,67,9,9,0,2024-10-12T02:51:19.597652
Metronidazole,70,490,490,0,2024-10-12T02:51:19.604670
Theophylline,35,342,342,0,2024-10-12T02:51:19.611656
Amphotericin B,70,29,29,0,2024-10-12T02:51:19.619660
Adefovir,54,301,301,0,2024-10-12T02:51:19.627653
Valganciclovir,56,431,431,0,2024-10-12T02:51:19.633658
Diltiazem,92,177,177,0,2024-10-12T02:51:19.642670
Mupirocin,50,387,387,0,2024-10-12T02:51:19.649738
Phenylephrine,21,400,400,0,2024-10-12T02:51:19.656734
Ranitidine,10,134,134,0,2024-10-12T02:51:19.662733
Probenecid,26,153,153,0,2024-10-12T02:51:19.667739
Dronabinol,2,25,25,0,2024-10-12T02:51:19.673735
Paliperidone,46,392,392,0,2024-10-12T02:51:19.680738
Bupropion,78,346,346,0,2024-10-12T02:51:19.685757
Levothyroxine,10,49,49,0,2024-10-12T02:51:19.695733
Metoprolol,24,246,246,0,2024-10-12T02:51:19.702735
Olanzapine,64,165,165,0,2024-10-12T02:51:19.708736
Tolterodine,8,187,187,0,2024-10-12T02:51:19.715738
Lurasidone,79,312,312,0,2024-10-12T02:51:19.723824
Gabapentin,70,100,100,0,2024-10-12T02:51:19.729805
Lidocaine,12,213,213,0,2024-10-12T02:51:19.736739
Olopatadine,8,357,357,0,2024-10-12T02:51:19.743735
Sodium fluoride,3,18,18,0,2024-10-12T02:51:19.750761
Isotretinoin,84,406,406,0,2024-10-12T02:51:19.756739
Sulfamethoxazole/Trimethoprim,62,302,302,0,2024-10-12T02:51:19.763740
Adalimumab,99,492,492,0,2024-10-12T02:51:19.769739
Cyclosporine,60,494,494,0,2024-10-12T02:51:19.776739
Tacrolimus,21,208,208,0,2024-10-12T02:51:19.783818
Raloxifene,59,143,143,0,2024-10-12T02:51:19.790867
Dextromethorphan,10,168,168,0,2024-10-12T02:51:19.796945
Aminophylline,58,491,491,0,2024-10-12T02:51:19.804867
Calcium carbonate,63,34,34,0,2024-10-12T02:51:19.811918
Ferrous sulfate,48,331,331,0,2024-10-12T02:51:19.818865
Promethazine,33,170,170,0,2024-10-12T02:51:19.825305
Ipratropium,15,399,399,0,2024-10-12T02:51:19.832313
Salmeterol,56,270,270,0,2024-10-12T02:51:19.839314
Budesonide,52,134,134,0,2024-10-12T02:51:19.846340
Lisinopril,86,372,372,0,2024-10-12T02:51:19.854317
Ketoconazole,77,269,269,0,2024-10-12T02:51:19.861339
Amlodipine,61,23,23,0,2024-10-12T02:51:19.868522
Fenofibrate,96,371,371,0,2024-10-12T02:51:19.874519
Bupropion,52,295,295,0,2024-10-12T02:51:19.881522
Quetiapine,94,63,63,0,2024-10-12T02:51:19.888781
Carbamazepine,28,375,375,0,2024-10-12T02:51:19.893780
Phenytoin,56,45,45,0,2024-10-12T02:51:19.903376
Thioridazine,23,196,196,0,2024-10-12T02:51:19.910377
Chlorpromazine,22,142,142,0,2024-10-12T02:51:19.917368
Methylphenidate,22,375,375,0,2024-10-12T02:51:19.923367
Fexofenadine,44,436,436,0,2024-10-12T02:51:19.929374
Ropinirole,79,418,418,0,2024-10-12T02:51:19.934366
Sodium valproate,11,206,206,0,2024-10-12T02:51:19.939366
Cholecalciferol,73,300,300,0,2024-10-12T02:51:19.944366
Paroxetine,83,199,199,0,2024-10-12T02:51:19.949366
Oxcarbazepine,34,295,295,0,2024-10-12T02:51:19.954365
Cariprazine,52,251,251,0,2024-10-12T02:51:19.959366
Atomoxetine,44,449,449,0,2024-10-12T02:51:19.964456
Trifluoperazine,77,258,258,0,2024-10-12T02:51:19.970473
Scopolamine,59,354,354,0,2024-10-12T02:51:19.975470
Benztropine,50,239,239,0,2024-10-12T02:51:19.981472
Estradiol,86,415,415,0,2024-10-12T02:51:19.986470
Progesterone,10,264,264,0,2024-10-12T02:51:19.994472
Desvenlafaxine,54,453,453,0,2024-10-12T02:51:20.000470
Clonidine,10,261,261,0,2024-10-12T02:51:20.006470
Dexamethasone,20,92,92,0,2024-10-12T02:51:20.012471
Naltrexone,28,67,67,0,2024-10-12T02:51:20.018472
Prazosin,62,163,163,0,2024-10-12T02:51:20.026472
Betamethasone,65,238,238,0,2024-10-12T02:51:20.033477
Misoprostol,65,395,395,0,2024-10-12T02:51:20.040470
Olmesartan,36,115,115,0,2024-10-12T02:51:20.045573
Diclofenac,48,94,94,0,2024-10-12T02:51:20.051473
Estrone,2,170,170,0,2024-10-12T02:51:20.058472
Estriol,88,497,497,0,2024-10-12T02:51:20.065475
Testosterone,17,145,145,0,2024-10-12T02:51:20.071483
Norgestimate,48,291,291,0,2024-10-12T02:51:20.078469
Risedronate,35,309,309,0,2024-10-12T02:51:20.093604
Raloxifene,94,30,30,0,2024-10-12T02:51:20.101584
Conjugated estrogens,19,118,118,0,2024-10-12T02:51:20.112660
Dapagliflozin,31,2,2,0,2024-10-12T02:51:20.124659
Canagliflozin,63,185,185,0,2024-10-12T02:51:20.130657
Empagliflozin,52,472,472,0,2024-10-12T02:51:20.137501
Metolazone,2,275,275,0,2024-10-12T02:51:20.143561
Glimepiride,74,394,394,0,2024-10-12T02:51:20.149566
Glipizide,49,197,197,0,2024-10-12T02:51:20.155560
Sitagliptin,59,61,61,0,2024-10-12T02:51:20.160565
Linagliptin,29,241,241,0,2024-10-12T02:51:20.166561
Exenatide,4,85,85,0,2024-10-12T02:51:20.172560
Liraglutide,41,148,148,0,2024-10-12T02:51:20.180916
Semaglutide,40,386,386,0,2024-10-12T02:51:20.185906
Insulin lispro,44,134,134,0,2024-10-12T02:51:20.191823
Insulin aspart,33,170,170,0,2024-10-12T02:51:20.196821
Insulin detemir,76,413,413,0,2024-10-12T02:51:20.201826
Insulin degludec,98,113,113,0,2024-10-12T02:51:20.205825
Alogliptin,67,33,33,0,2024-10-12T02:51:20.211819
Pioglitazone,16,315,315,0,2024-10-12T02:51:20.215923
Rosiglitazone,6,90,90,0,2024-10-12T02:51:20.221929
Saxagliptin,69,230,230,0,2024-10-12T02:51:20.226929
Repaglinide,49,421,421,0,2024-10-12T02:51:20.231952
Tolbutamide,8,254,254,0,2024-10-12T02:51:20.237930
Chlorpropamide,98,352,352,0,2024-10-12T02:51:20.244178
Meglitinide,75,342,342,0,2024-10-12T02:51:20.250219
Gliclazide,64,28,28,0,2024-10-12T02:51:20.257187
Troglitazone,74,460,460,0,2024-10-12T02:51:20.265398
Pramlintide,14,411,411,0,2024-10-12T02:51:20.272393
Bismuth subsalicylate,52,224,224,0,2024-10-12T02:51:20.280720
Sodium phosphate,88,108,108,0,2024-10-12T02:51:20.286696
Lactulose,75,269,269,0,2024-10-12T02:51:20.295704
Docusate sodium,18,358,358,0,2024-10-12T02:51:20.302693
Polyethylene glycol,55,347,347,0,2024-10-12T02:51:20.310694
Bisacodyl,70,260,260,0,2024-10-12T02:51:20.317697
Senna,75,423,423,0,2024-10-12T02:51:20.324694
Metoclopramide,9,72,72,0,2024-10-12T02:51:20.330692
Famotidine,65,98,98,0,2024-10-12T02:51:20.337692
Cimetidine,57,291,291,0,2024-10-12T02:51:20.345709
Doxylamine,20,111,111,0,2024-10-12T02:51:20.352056
Diphenhydramine,84,475,475,0,2024-10-12T02:51:20.360053
Hydroxyzine,13,319,319,0,2024-10-12T02:51:20.366123
Loperamide,34,427,427,0,2024-10-12T02:51:20.373051
Imodium,37,132,132,0,2024-10-12T02:51:20.379053
Nexium,15,92,92,0,2024-10-12T02:51:20.384165
Pantoprazole,13,59,59,0,2024-10-12T02:51:20.390053
Rabeprazole,46,248,248,0,2024-10-12T02:51:20.396055
Tamsulosin,72,39,39,0,2024-10-12T02:51:20.401091
Finasteride,2,112,112,0,2024-10-12T02:51:20.407285
Dutasteride,71,398,398,0,2024-10-12T02:51:20.413307
Sildenfil,95,138,138,0,2024-10-12T02:51:20.418327
Vardenafil,50,169,169,0,2024-10-12T02:51:20.424308
Valsartan,11,390,390,0,2024-10-12T02:51:20.429337
Irbesartan,99,184,184,0,2024-10-12T02:51:20.435521
Candesartan,68,465,465,0,2024-10-12T02:51:20.442526
Telmisartan,36,169,169,0,2024-10-12T02:51:20.449520
Nimodipine,81,11,11,0,2024-10-12T02:51:20.456522
Felodipine,58,436,436,0,2024-10-12T02:51:20.463580
Amlodipine,43,194,194,0,2024-10-12T02:51:20.469837
Diltiazem,98,165,165,0,2024-10-12T02:51:20.477848
Nifedipine,71,59,59,0,2024-10-12T02:51:20.487917
Verapamil,23,36,36,0,2024-10-12T02:51:20.501279
Trandolapril,2,473,473,0,2024-10-12T02:51:20.512292
Perindopril,62,114,114,0,2024-10-12T02:51:20.519405
Ramipril,81,355,355,0,2024-10-12T02:51:20.526455
Benazepril,69,281,281,0,2024-10-12T02:51:20.533665
Eplerenone,74,355,355,0,2024-10-12T02:51:20.541775
Spironolactone,98,36,36,0,2024-10-12T02:51:20.547669
Amiodarone,42,361,361,0,2024-10-12T02:51:20.555700
Digoxin,60,423,423,0,2024-10-12T02:51:20.562703
Disopyramide,91,16,16,0,2024-10-12T02:51:20.568667
Dronedarone,75,56,56,0,2024-10-12T02:51:20.575670
Isosorbide dinitrate,25,85,85,0,2024-10-12T02:51:20.581666
Nitroglycerin,65,458,458,0,2024-10-12T02:51:20.587666
Amyl nitrite,22,185,185,0,2024-10-12T02:51:20.593667
Candesartan,54,110,110,0,2024-10-12T02:51:20.600668
Atorvastatin,1,110,110,0,2024-10-12T02:51:20.606666
Rosuvastatin,89,286,286,0,2024-10-12T02:51:20.611669
Simvastatin,44,258,258,0,2024-10-12T02:51:20.617669
Lovastatin,43,26,26,0,2024-10-12T02:51:20.623668
Pravastatin,98,154,154,0,2024-10-12T02:51:20.629673
Fluvastatin,28,108,108,0,2024-10-12T02:51:20.635841
Ezetimibe,62,100,100,0,2024-10-12T02:51:20.643871
Cholestyramine,31,347,347,0,2024-10-12T02:51:20.652847
Colesevelam,97,132,132,0,2024-10-12T02:51:20.657846
Colestipol,92,482,482,0,2024-10-12T02:51:20.668240
Niacin,11,252,252,0,2024-10-12T02:51:20.675244
Omega-3 fatty acids,28,265,265,0,2024-10-12T02:51:20.681241
Fenofibrate,52,415,415,0,2024-10-12T02:51:20.687244
Omega-3 acid ethyl esters,61,310,310,0,2024-10-12T02:51:20.695243
Propranolol,51,366,366,0,2024-10-12T02:51:20.701241
Atenolol,36,54,54,0,2024-10-12T02:51:20.708247
Metoprolol,15,219,219,0,2024-10-12T02:51:20.716299
Bisoprolol,26,93,93,0,2024-10-12T02:51:20.723300
Carvedilol,1,107,107,0,2024-10-12T02:51:20.730295
Sotalol,42,140,140,0,2024-10-12T02:51:20.737351
Nadolol,39,52,52,0,2024-10-12T02:51:20.744325
Timolol,42,236,236,0,2024-10-12T02:51:20.750617
Doxazosin,49,182,182,0,2024-10-12T02:51:20.756605
Terazosin,74,451,451,0,2024-10-12T02:51:20.763597
Prazosin,54,450,450,0,2024-10-12T02:51:20.770705
Atenolol,88,22,22,0,2024-10-12T02:51:20.778858
Amlodipine,25,248,248,0,2024-10-12T02:51:20.785867
Diltiazem,83,69,69,0,2024-10-12T02:51:20.792865
Nifedipine,69,88,88,0,2024-10-12T02:51:20.800138
Verapamil,66,234,234,0,2024-10-12T02:51:20.807150
Felodipine,71,278,278,0,2024-10-12T02:51:20.814308
Sildenafil,29,274,274,0,2024-10-12T02:51:20.821254
Tadalafil,61,295,295,0,2024-10-12T02:51:20.828248
Vardenafil,29,213,213,0,2024-10-12T02:51:20.834639
Finasteride,60,486,486,0,2024-10-12T02:51:20.842657
Dutasteride,27,3,3,0,2024-10-12T02:51:20.849652
Efinaconazole,90,140,140,0,2024-10-12T02:51:20.856647
Fluconazole,52,426,426,0,2024-10-12T02:51:20.865648
Ketoconazole,20,138,138,0,2024-10-12T02:51:20.872648
Miconazole,80,150,150,0,2024-10-12T02:51:20.879681
Voriconazole,75,291,291,0,2024-10-12T02:51:20.887649
Caspofungin,47,179,179,0,2024-10-12T02:51:20.894646
Anidulafungin,59,71,71,0,2024-10-12T02:51:20.900647
Micafungin,91,385,385,0,2024-10-12T02:51:20.907650
Nystatin,26,15,15,0,2024-10-12T02:51:20.914646
Amphotericin B,84,236,236,0,2024-10-12T02:51:20.920647
Terbinafine,21,406,406,0,2024-10-12T02:51:20.927646
Itraconazole,91,2,2,0,2024-10-12T02:51:20.932649
Posaconazole,67,169,169,0,2024-10-12T02:51:20.938652
Clotrimazole,89,219,219,0,2024-10-12T02:51:20.945693
Boric acid,95,229,229,0,2024-10-12T02:51:20.952647
Fluorouracil,2,268,268,0,2024-10-12T02:51:20.958649
Doxorubicin,29,177,177,0,2024-10-12T02:51:20.966651
Cisplatin,24,137,137,0,2024-10-12T02:51:20.973653
Carboplatin,67,239,239,0,2024-10-12T02:51:20.980648
Methotrexate,98,426,426,0,2024-10-12T02:51:20.985645
Vincristine,76,16,16,0,2024-10-12T02:51:20.991650
Paclitaxel,72,405,405,0,2024-10-12T02:51:20.997673
Docetaxel,60,291,291,0,2024-10-12T02:51:21.002647
Etoposide,7,373,373,0,2024-10-12T02:51:21.008649
Tamoxifen,68,58,58,0,2024-10-12T02:51:21.012666
Letrozole,53,179,179,0,2024-10-12T02:51:21.018648
Anastrozole,78,420,420,0,2024-10-12T02:51:21.023647
Trastuzumab,60,237,237,0,2024-10-12T02:51:21.028645
Rituximab,31,465,465,0,2024-10-12T02:51:21.033669
Bevacizumab,67,295,295,0,2024-10-12T02:51:21.039652
Nivolumab,96,55,55,0,2024-10-12T02:51:21.048722
Pembrolizumab,59,352,352,0,2024-10-12T02:51:21.053822
Atezolizumab,55,409,409,0,2024-10-12T02:51:21.059723
Ipilimumab,14,165,165,0,2024-10-12T02:51:21.064728
Tositumomab,49,58,58,0,2024-10-12T02:51:21.070722
Alemtuzumab,5,394,394,0,2024-10-12T02:51:21.076791
Elotuzumab,12,480,480,0,2024-10-12T02:51:21.083723
Brentuximab vedotin,60,394,394,0,2024-10-12T02:51:21.090725
Carfilzomib,59,66,66,0,2024-10-12T02:51:21.097723
Bortezomib,70,415,415,0,2024-10-12T02:51:21.104724
Thalidomide,9,208,208,0,2024-10-12T02:51:21.110722
Lenalidomide,59,125,125,0,2024-10-12T02:51:21.116886
Pomalidomide,53,432,432,0,2024-10-12T02:51:21.121889
Acalabrutinib,3,174,174,0,2024-10-12T02:51:21.126887
Ibrutinib,71,143,143,0,2024-10-12T02:51:21.131904
Idelalisib,47,143,143,0,2024-10-12T02:51:21.136886
Venetoclax,86,441,441,0,2024-10-12T02:51:21.142887
Dasatinib,51,463,463,0,2024-10-12T02:51:21.149076
Imatinib,85,394,394,0,2024-10-12T02:51:21.155026
Nilotinib,37,323,323,0,2024-10-12T02:51:21.162051
Bosutinib,40,491,491,0,2024-10-12T02:51:21.167977
Tafasitamab,17,153,153,0,2024-10-12T02:51:21.173977
Zanubrutinib,29,252,252,0,2024-10-12T02:51:21.181050
Ofatumumab,89,325,325,0,2024-10-12T02:51:21.186136
Obinutuzumab,44,415,415,0,2024-10-12T02:51:21.194048
Ruxolitinib,74,236,236,0,2024-10-12T02:51:21.201047
Fedratinib,98,287,287,0,2024-10-12T02:51:21.208085
Clofarabine,67,121,121,0,2024-10-12T02:51:21.215234
Nelarabine,93,381,381,0,2024-10-12T02:51:21.221237
Etoposide,22,253,253,0,2024-10-12T02:51:21.228233
Fludarabine,5,138,138,0,2024-10-12T02:51:21.235235
Deferasirox,1,287,287,0,2024-10-12T02:51:21.241277
Deferoxamine,63,441,441,0,2024-10-12T02:51:21.248449
Iron sucrose,27,499,499,0,2024-10-12T02:51:21.255841
Ferrous gluconate,54,452,452,0,2024-10-12T02:51:21.262846
Rho(D) immune globulin,60,451,451,0,2024-10-12T02:51:21.269842
Anti-D immunoglobulin,2,449,449,0,2024-10-12T02:51:21.277217
Immunoglobulin,97,242,242,0,2024-10-12T02:51:21.284237
Rituximab,35,276,276,0,2024-10-12T02:51:21.291408
Adalimumab,73,377,377,0,2024-10-12T02:51:21.298413
Infliximab,21,15,15,0,2024-10-12T02:51:21.305414
Certolizumab pegol,11,414,414,0,2024-10-12T02:51:21.312408
Golimumab,99,228,228,0,2024-10-12T02:51:21.319410
Abatacept,43,490,490,0,2024-10-12T02:51:21.325407
Tocilizumab,70,67,67,0,2024-10-12T02:51:21.342408
Sarilumab,79,128,128,0,2024-10-12T02:51:21.352494
Dupilumab,93,20,20,0,2024-10-12T02:51:21.359542
Eculizumab,8,96,96,0,2024-10-12T02:51:21.365493
Belimumab,46,300,300,0,2024-10-12T02:51:21.373495
Natalizumab,18,116,116,0,2024-10-12T02:51:21.380494
Ocrelizumab,68,452,452,0,2024-10-12T02:51:21.386495
Alemtuzumab,6,217,217,0,2024-10-12T02:51:21.393504
Bortezomib,74,283,283,0,2024-10-12T02:51:21.400497
Carfilzomib,99,312,312,0,2024-10-12T02:51:21.406497
Ixazomib,92,244,244,0,2024-10-12T02:51:21.413497
Elotuzumab,89,143,143,0,2024-10-12T02:51:21.419596
Daratumumab,10,322,322,0,2024-10-12T02:51:21.426493
Tisagenlecleucel,28,1,1,0,2024-10-12T02:51:21.433494
Axicabtagene ciloleucel,78,218,218,0,2024-10-12T02:51:21.440498
Luspatercept,42,197,197,0,2024-10-12T02:51:21.447492
Gilteritinib,33,314,314,0,2024-10-12T02:51:21.454638
Crizotinib,68,187,187,0,2024-10-12T02:51:21.461770
Alectinib,4,368,368,0,2024-10-12T02:51:21.468056
Brigatinib,27,156,156,0,2024-10-12T02:51:21.474087
Lorlatinib,42,16,16,0,2024-10-12T02:51:21.480062
Entrectinib,8,91,91,0,2024-10-12T02:51:21.485064
Trametinib,69,326,326,0,2024-10-12T02:51:21.490071
Dabrafenib,7,191,191,0,2024-10-12T02:51:21.495151
Vemurafenib,14,335,335,0,2024-10-12T02:51:21.501063
Cobimetinib,46,270,270,0,2024-10-12T02:51:21.506065
Selumetinib,1,62,62,0,2024-10-12T02:51:21.511061
Pazopanib,60,46,46,0,2024-10-12T02:51:21.516063
Sunitinib,50,3,3,0,2024-10-12T02:51:21.521062
Sorafenib,42,25,25,0,2024-10-12T02:51:21.526063
Axitinib,21,190,190,0,2024-10-12T02:51:21.531062
Regorafenib,6,234,234,0,2024-10-12T02:51:21.536066
Lenvatinib,59,134,134,0,2024-10-12T02:51:21.541064
Atezolizumab,16,100,100,0,2024-10-12T02:51:21.546064
Durvalumab,30,45,45,0,2024-10-12T02:51:21.552064
Nivolumab,7,68,68,0,2024-10-12T02:51:21.557063
Pembrolizumab,86,486,486,0,2024-10-12T02:51:21.563066
Ipilimumab,5,401,401,0,2024-10-12T02:51:21.569062
Mefloquine,37,31,31,0,2024-10-12T02:51:21.574062
Atovaquone/Proguanil,77,170,170,0,2024-10-12T02:51:21.579063
Chloroquine,62,325,325,0,2024-10-12T02:51:21.584064
Quinine,72,75,75,0,2024-10-12T02:51:21.589063
Artemether/Lumefantrine,81,180,180,0,2024-10-12T02:51:21.596062
Doxycycline,19,230,230,0,2024-10-12T02:51:21.602065
Primaquine,61,403,403,0,2024-10-12T02:51:21.609088
Malarone,49,141,141,0,2024-10-12T02:51:21.616062
Hydroxychloroquine,84,296,296,0,2024-10-12T02:51:21.623065
Amanita muscaria,23,317,317,0,2024-10-12T02:51:21.630154
Dexamethasone,36,385,385,0,2024-10-12T02:51:21.636155
Griseofulvin,78,44,44,0,2024-10-12T02:51:21.642154
Fluconazole,48,338,338,0,2024-10-12T02:51:21.647247
Voriconazole,27,144,144,0,2024-10-12T02:51:21.652171
Liposomal amphotericin B,55,17,17,0,2024-10-12T02:51:21.657165
